"","feature","ave_expr","log_fc","stat","pvalue","padj","rate1","rate2","group1","feature_rank"
"365","RIMS1",5.10856034301739,1.37011979460688,14.0299671596867,0.00399926978819459,0.00487582207053861,0.10077519379845,0.02541712147201,"NPP_PDE3A+",73
"366","ENC1",5.69183257111978,1.19820539785034,13.6162329514094,0.00435427671215771,0.00523690037002752,0.13953488372093,0.0335256510213629,"NPP_PDE3A+",74
"367","FDPS",5.4740120457621,1.36169491804659,12.9003544757273,0.0051170956539512,0.00607228684268876,0.108527131782946,0.0293154529861219,"NPP_PDE3A+",75
"368","HMGCS1",6.67145326853648,1.14523407630219,12.445802954688,0.00564472084809162,0.00656313784690898,0.209302325581395,0.065180102915952,"NPP_PDE3A+",76
"369","PCDH15",5.96082341697555,1.15928367072772,12.4343539601971,0.0056782203844044,0.00656313784690898,0.131782945736434,0.0506783096834555,"NPP_PDE3A+",77
"370","SFXN5",5.97364931286031,1.14493410475659,12.1681425190423,0.00604480110820323,0.00674874833355214,0.147286821705426,0.0422579136129736,"NPP_PDE3A+",78
"371","ACER3",6.67272387254095,1.01232903980778,12.1491645810555,0.0060543448563862,0.00674874833355214,0.201550387596899,0.0678309683455481,"NPP_PDE3A+",79
"372","OSBPL10",5.96377302581336,1.19029383578214,12.1520529832353,0.0060662906369008,0.00674874833355214,0.13953488372093,0.0424138468735381,"NPP_PDE3A+",80
"373","GLIS3",6.69849971454861,1.23708448161175,11.2201151193168,0.00758299775188872,0.00833193580145798,0.186046511627907,0.0664275690004678,"NPP_PDE3A+",81
"374","ATP6V0E1",5.40279661443465,1.15774424909115,10.9540034891769,0.00817414953818074,0.00887194279144007,0.108527131782946,0.0288476532044285,"NPP_PDE3A+",82
"375","CHRNA7",5.42302026691074,1.06419855740272,9.4343519788125,0.0121811704486932,0.0130617369871529,0.10077519379845,0.0311866521128957,"NPP_PDE3A+",83
"376","PSTPIP2",5.58748410403708,1.39748588753475,8.99668900046406,0.0137044309615823,0.0144791189338845,0.108527131782946,0.0316544518945891,"NPP_PDE3A+",84
"377","PLS3",5.7096340644187,1.25823974675569,8.96472903270709,0.0138283720155077,0.0144791189338845,0.13953488372093,0.0332137845002339,"NPP_PDE3A+",85
"378","LMO7",4.92787519028209,1.48447342450828,7.43685558595412,0.0218125516811457,0.0225734546467671,0.10077519379845,0.0263527210353969,"NPP_PDE3A+",86
"379","ELOVL7",5.28843006195159,1.06584174055671,7.14228273816215,0.0239265727932408,0.0244766089494073,0.10077519379845,0.0269764540776548,"NPP_PDE3A+",87
"380","CCDC7",5.24295085911481,1.25538655130489,6.84653731650884,0.0263001616132516,0.0265990270861295,0.10077519379845,0.0266645875565258,"NPP_PDE3A+",88
"381","DOCK11",5.42835457162589,1.02176116203396,5.20478368085354,0.0463727769296501,0.0463727769296501,0.10077519379845,0.0297832527678154,"NPP_PDE3A+",89
"382","SCN7A",9.88130228788432,3.11108921708612,857.922546877161,1.47759718978445e-09,1.32983747080601e-08,1,0.239918405774361,"NPP_SCN7A+",1
"383","F2",5.79433937234951,1.25216866784202,18.4113737450692,0.00255988047688441,0.00934594879647125,0.112426035502959,0.0382865212615723,"NPP_SCN7A+",2
