"","feature","ave_expr","log_fc","stat","pvalue","padj","rate1","rate2","group1","group2","comp"
"252","LINC01725",9.60410315847853,7.41319385359104,36.9226480886107,1.42588265034273e-08,4.10654203298705e-05,0.335365853658537,0,"IGFBP5+_KO","IGFBP5+_WT","IGFBP5+_KO _vs_ IGFBP5+_WT"
"253","FP236383.3",12.9441547573305,0.931191335581019,33.3598780385619,5.74670401019676e-08,0.000146513900922181,0.951219512195122,1,"IGFBP5+_KO","IGFBP5+_WT","IGFBP5+_KO _vs_ IGFBP5+_WT"
"254","GPC3",10.5740129827295,2.35469915063109,32.9849185571545,6.68931846611777e-08,0.000146513900922181,0.530487804878049,0.466666666666667,"IGFBP5+_KO","IGFBP5+_WT","IGFBP5+_KO _vs_ IGFBP5+_WT"
"255","AC099520.1",9.07990330683461,-2.75228487671018,32.8785489080687,6.99502131138887e-08,0.000146513900922181,0.0914634146341463,0.4,"IGFBP5+_KO","IGFBP5+_WT","IGFBP5+_KO _vs_ IGFBP5+_WT"
"256","KIF26B",10.2213448853608,2.6098044578045,28.1360794751321,4.95665784084023e-07,0.00094471119097358,0.408536585365854,0.333333333333333,"IGFBP5+_KO","IGFBP5+_WT","IGFBP5+_KO _vs_ IGFBP5+_WT"
"257","BACH2",9.93966637908444,3.10155962078801,27.9352663741082,5.33040168518079e-07,0.00094471119097358,0.390243902439024,0.2,"IGFBP5+_KO","IGFBP5+_WT","IGFBP5+_KO _vs_ IGFBP5+_WT"
"258","TCF4",10.5867354114461,1.99698404783156,27.2161667222939,7.35012655621098e-07,0.00120962082753644,0.518292682926829,0.666666666666667,"IGFBP5+_KO","IGFBP5+_WT","IGFBP5+_KO _vs_ IGFBP5+_WT"
"259","TFAP2B",9.16279702982928,6.88510951515865,25.988702893105,1.2630829034208e-06,0.00173572993785651,0.274390243902439,0,"IGFBP5+_KO","IGFBP5+_WT","IGFBP5+_KO _vs_ IGFBP5+_WT"
"260","WWOX",10.9121672558192,1.687327937688,25.9409956794389,1.26617707724168e-06,0.00173572993785651,0.548780487804878,0.6,"IGFBP5+_KO","IGFBP5+_WT","IGFBP5+_KO _vs_ IGFBP5+_WT"
"261","TMTC2",10.7374938354023,1.78082276585,25.9146085563338,1.28070351317538e-06,0.00173572993785651,0.560975609756098,0.8,"IGFBP5+_KO","IGFBP5+_WT","IGFBP5+_KO _vs_ IGFBP5+_WT"
